Directory,URICount,Category,TotalURIs
2016-06,3,GitLab,8269
2016-06,20,Bitbucket,8269
2012-01,2769,Total,2769
2012-01,733,OADS,2769
2012-01,1999,NonOADS,2769
2012-01,24,SourceForge,2769
2012-01,10,GitHub,2769
2012-01,0,GitLab,2769
2012-01,3,Bitbucket,2769
2008-06,1991,Total,1991
2008-06,581,OADS,1991
2008-06,1387,NonOADS,1991
2008-06,23,SourceForge,1991
2008-06,0,GitHub,1991
2008-06,0,GitLab,1991
2008-06,0,Bitbucket,1991
2011-08,3496,Total,3496
2011-08,959,OADS,3496
2011-08,2491,NonOADS,3496
2011-08,40,SourceForge,3496
2011-08,6,GitHub,3496
2011-08,0,GitLab,3496
2011-08,0,Bitbucket,3496
2013-09,5046,Total,5046
2013-09,1345,OADS,5046
2013-09,3577,NonOADS,5046
2013-09,43,SourceForge,5046
2013-09,68,GitHub,5046
2013-09,0,GitLab,5046
2013-09,13,Bitbucket,5046
2013-08,3716,Total,3716
2013-08,991,OADS,3716
2013-08,2635,NonOADS,3716
2013-08,29,SourceForge,3716
2013-08,49,GitHub,3716
2013-08,1,GitLab,3716
2013-08,11,Bitbucket,3716
2011-09,3795,Total,3795
2011-09,1038,OADS,3795
2011-09,2720,NonOADS,3795
2011-09,30,SourceForge,3795
2011-09,6,GitHub,3795
2011-09,0,GitLab,3795
2011-09,1,Bitbucket,3795
2008-07,2059,Total,2059
2008-07,553,OADS,2059
2008-07,1490,NonOADS,2059
2008-07,16,SourceForge,2059
2008-07,0,GitHub,2059
2008-07,0,GitLab,2059
2008-07,0,Bitbucket,2059
2016-07,6504,Total,6504
2016-07,1722,OADS,6504
2016-07,4431,NonOADS,6504
2016-07,36,SourceForge,6504
2016-07,295,GitHub,6504
2016-07,3,GitLab,6504
2016-07,17,Bitbucket,6504
2013-12,5155,Total,5155
2013-12,1335,OADS,5155
2013-12,3693,NonOADS,5155
2013-12,55,SourceForge,5155
2013-12,66,GitHub,5155
2013-12,0,GitLab,5155
2013-12,6,Bitbucket,5155
2016-11,8662,Total,8662
2016-11,2148,OADS,8662
2016-11,5817,NonOADS,8662
2016-11,51,SourceForge,8662
2016-11,624,GitHub,8662
2016-11,1,GitLab,8662
2016-11,21,Bitbucket,8662
2009-03,2696,Total,2696
2009-03,701,OADS,2696
2009-03,1979,NonOADS,2696
2009-03,13,SourceForge,2696
2009-03,3,GitHub,2696
2009-03,0,GitLab,2696
2009-03,0,Bitbucket,2696
2013-04,4697,Total,4697
2013-04,1285,OADS,4697
2013-04,3309,NonOADS,4697
2013-04,56,SourceForge,4697
2013-04,41,GitHub,4697
2013-04,0,GitLab,4697
2013-04,6,Bitbucket,4697
2017-03,7461,Total,7461
2017-03,1920,OADS,7461
2017-03,4898,NonOADS,7461
2017-03,51,SourceForge,7461
2017-03,568,GitHub,7461
2017-03,3,GitLab,7461
2017-03,21,Bitbucket,7461
2008-11,2118,Total,2118
2008-11,630,OADS,2118
2008-11,1477,NonOADS,2118
2008-11,10,SourceForge,2118
2008-11,1,GitHub,2118
2008-11,0,GitLab,2118
2008-11,0,Bitbucket,2118
2010-01,2832,Total,2832
2010-01,688,OADS,2832
2010-01,2121,NonOADS,2832
2010-01,21,SourceForge,2832
2010-01,2,GitHub,2832
2010-01,0,GitLab,2832
2010-01,0,Bitbucket,2832
2019-02,12843,Total,12843
2019-02,2808,OADS,12843
2019-02,8491,NonOADS,12843
2019-02,42,SourceForge,12843
2019-02,1462,GitHub,12843
2019-02,12,GitLab,12843
2019-02,28,Bitbucket,12843
2020-11,19772,Total,19772
2020-11,3618,OADS,19772
2020-11,12857,NonOADS,19772
2020-11,50,SourceForge,19772
2020-11,3177,GitHub,19772
2020-11,36,GitLab,19772
2020-11,34,Bitbucket,19772
2018-10,13715,Total,13715
2018-10,2966,OADS,13715
2018-10,9122,NonOADS,13715
2018-10,47,SourceForge,13715
2018-10,1543,GitHub,13715
2018-10,13,GitLab,13715
2018-10,24,Bitbucket,13715
2014-06,4675,Total,4675
2014-06,1235,OADS,4675
2014-06,3301,NonOADS,4675
2014-06,33,SourceForge,4675
2014-06,92,GitHub,4675
2014-06,0,GitLab,4675
2014-06,14,Bitbucket,4675
2021-03,25187,Total,25187
2021-03,4437,OADS,25187
2021-03,16610,NonOADS,25187
2021-03,43,SourceForge,25187
2021-03,4032,GitHub,25187
2021-03,40,GitLab,25187
2021-03,25,Bitbucket,25187
2018-06,9758,Total,9758
2018-06,2336,OADS,9758
2018-06,6383,NonOADS,9758
2018-06,22,SourceForge,9758
2018-06,977,GitHub,9758
2018-06,6,GitLab,9758
